,Manufacturer,Model,Format,Configuration,Voltage_max (V),Voltage_min (V),Voltage_nom (V),Weight (kg),Volume (m^3),Cooling type,Weight valid,Volume valid,Energy (Wh)
44,LG,LG_INR_18650_MJ1,cylindrical,72s44p,302.40000000000003,198.0,261.71999999999997,155.232,0.23491317167999998,REFRIGERANT,True,True,40304.88
45,LG,LG_INR_18650_MJ1,cylindrical,73s44p,306.6,200.75,265.35499999999996,157.388,0.23817585461999996,REFRIGERANT,True,True,40864.67
46,LG,LG_INR_18650_MJ1,cylindrical,74s43p,310.8,203.5,268.99,155.918,0.23595129806999995,REFRIGERANT,True,True,40482.994999999995
47,LG,LG_INR_18650_MJ1,cylindrical,75s42p,315.0,206.25,272.625,154.35,0.23357843774999998,REFRIGERANT,True,True,40075.875
48,LG,LG_INR_18650_MJ1,cylindrical,76s42p,319.2,209.0,276.26,156.40800000000002,0.23669281691999997,REFRIGERANT,True,True,40610.22
49,LG,LG_INR_18650_MJ1,cylindrical,77s41p,323.40000000000003,211.75,279.895,154.693,0.23409750094499995,REFRIGERANT,True,True,40164.932499999995
50,LG,LG_INR_18650_MJ1,cylindrical,78s41p,327.6,214.5,283.53,156.702,0.23713772822999996,REFRIGERANT,True,True,40686.555
51,LG,LG_INR_18650_MJ1,cylindrical,79s40p,331.8,217.25,287.16499999999996,154.84,0.23431995659999996,REFRIGERANT,True,True,40203.09999999999
52,LG,LG_INR_18650_MJ1,cylindrical,80s40p,336.0,220.0,290.79999999999995,156.8,0.23728603199999998,REFRIGERANT,True,True,40711.99999999999
53,LG,LG_INR_18650_MJ1,cylindrical,81s39p,340.2,222.75,294.435,154.791,0.23424580471499998,REFRIGERANT,True,True,40190.3775
54,LG,LG_INR_18650_MJ1,cylindrical,82s39p,344.40000000000003,225.5,298.07,156.702,0.23713772822999996,REFRIGERANT,True,True,40686.555
55,LG,LG_INR_18650_MJ1,cylindrical,83s38p,348.6,228.25,301.705,154.546,0.23387504528999997,REFRIGERANT,True,True,40126.765
56,LG,LG_INR_18650_MJ1,cylindrical,84s38p,352.8,231.0,305.34,156.40800000000002,0.23669281691999997,REFRIGERANT,True,True,40610.219999999994
57,LG,LG_INR_18650_MJ1,cylindrical,85s37p,357.0,233.75,308.97499999999997,154.10500000000002,0.23320767832499997,REFRIGERANT,True,True,40012.2625
58,LG,LG_INR_18650_MJ1,cylindrical,86s37p,361.2,236.5,312.60999999999996,155.918,0.23595129806999995,REFRIGERANT,True,True,40482.994999999995
59,LG,LG_INR_18650_MJ1,cylindrical,87s37p,365.40000000000003,239.25,316.245,157.731,0.23869491781499996,REFRIGERANT,True,True,40953.7275
60,LG,LG_INR_18650_MJ1,cylindrical,88s36p,369.6,242.0,319.88,155.232,0.23491317167999998,REFRIGERANT,True,True,40304.880000000005
61,LG,LG_INR_18650_MJ1,cylindrical,89s36p,373.8,244.75,323.515,156.996,0.23758263953999997,REFRIGERANT,True,True,40762.89
62,LG,LG_INR_18650_MJ1,cylindrical,90s35p,378.0,247.5,327.15,154.35,0.23357843774999998,REFRIGERANT,True,True,40075.875
63,LG,LG_INR_18650_MJ1,cylindrical,91s35p,382.2,250.25,330.78499999999997,156.065,0.23617375372499996,REFRIGERANT,True,True,40521.16249999999
64,LG,LG_INR_18650_MJ1,cylindrical,92s35p,386.40000000000003,253.0,334.41999999999996,157.78,0.23876906969999998,REFRIGERANT,True,True,40966.45
65,LG,LG_INR_18650_MJ1,cylindrical,93s34p,390.6,255.75,338.055,154.93800000000002,0.23446826036999996,REFRIGERANT,True,True,40228.545000000006
66,LG,LG_INR_18650_MJ1,cylindrical,94s34p,394.8,258.5,341.69,156.604,0.23698942445999996,REFRIGERANT,True,True,40661.11
67,LG,LG_INR_18650_MJ1,cylindrical,95s34p,399.0,261.25,345.325,158.27,0.23951058854999996,REFRIGERANT,True,True,41093.674999999996
68,LG,LG_INR_18650_MJ1,cylindrical,96s33p,403.20000000000005,264.0,348.96,155.232,0.23491317167999998,REFRIGERANT,True,True,40304.88
69,LG,LG_INR_18650_MJ1,cylindrical,97s33p,407.40000000000003,266.75,352.59499999999997,156.84900000000002,0.23736018388499996,REFRIGERANT,True,True,40724.722499999996
70,LG,LG_INR_18650_MJ1,cylindrical,98s33p,411.6,269.5,356.22999999999996,158.466,0.23980719608999995,REFRIGERANT,True,True,41144.564999999995
71,LG,LG_INR_18650_MJ1,cylindrical,99s32p,415.8,272.25,359.86499999999995,155.232,0.23491317167999998,REFRIGERANT,True,True,40304.88
